Unnamed: 0,protein1,protein2,prediction,label
26,9606.ENSP00000369176,9606.ENSP00000467266,0.9999996032283064,1.0
27,9606.ENSP00000369176,9606.ENSP00000367939,0.9999999999999976,1.0
28,9606.ENSP00000369176,9606.ENSP00000362058,0.9999999999999822,1.0
29,9606.ENSP00000369176,9606.ENSP00000261584,1.0,1.0
30,9606.ENSP00000369176,9606.ENSP00000339720,0.9999999999998666,1.0
31,9606.ENSP00000369176,9606.ENSP00000362873,0.9999999999999818,1.0
32,9606.ENSP00000369176,9606.ENSP00000419087,0.9999999999991644,1.0
33,9606.ENSP00000369176,9606.ENSP00000482543,0.9999999999999878,1.0
34,9606.ENSP00000369176,9606.ENSP00000441126,0.9999999999998874,1.0
35,9606.ENSP00000369176,9606.ENSP00000264093,0.9999999993506123,1.0
36,9606.ENSP00000369176,9606.ENSP00000266544,0.9999999999999988,1.0
37,9606.ENSP00000369176,9606.ENSP00000274137,0.9999999999997582,1.0
38,9606.ENSP00000369176,9606.ENSP00000356953,0.999999999999478,1.0
39,9606.ENSP00000369176,9606.ENSP00000497587,0.9999999999999998,1.0
40,9606.ENSP00000369176,9606.ENSP00000355623,0.9999999877792084,1.0
41,9606.ENSP00000369176,9606.ENSP00000364649,1.0,1.0
42,9606.ENSP00000369176,9606.ENSP00000315774,1.0,1.0
43,9606.ENSP00000369176,9606.ENSP00000301587,0.999999999999821,1.0
44,9606.ENSP00000369176,9606.ENSP00000364699,0.9999999999465128,1.0
191,9606.ENSP00000355265,9606.ENSP00000297316,0.0070368062745408,0.0
350,9606.ENSP00000354911,9606.ENSP00000433623,0.7676491171758316,1.0
351,9606.ENSP00000354911,9606.ENSP00000498374,0.0475167441746358,1.0
352,9606.ENSP00000354911,9606.ENSP00000358997,0.4042110508601514,1.0
362,9606.ENSP00000357791,9606.ENSP00000357702,0.0265766465167832,1.0
370,9606.ENSP00000226796,9606.ENSP00000400591,1.0,1.0
371,9606.ENSP00000226796,9606.ENSP00000350249,0.9999999985189983,1.0
372,9606.ENSP00000226796,9606.ENSP00000364320,1.0,1.0
373,9606.ENSP00000226796,9606.ENSP00000384302,1.0,1.0
374,9606.ENSP00000226796,9606.ENSP00000423067,1.0,1.0
375,9606.ENSP00000226796,9606.ENSP00000263857,1.0,1.0
376,9606.ENSP00000226796,9606.ENSP00000274054,0.9999965661998522,1.0
377,9606.ENSP00000226796,9606.ENSP00000324842,0.9999830174765456,1.0
378,9606.ENSP00000226796,9606.ENSP00000481697,0.9999999999999868,1.0
379,9606.ENSP00000226796,9606.ENSP00000324203,0.9999999990825764,1.0
380,9606.ENSP00000226796,9606.ENSP00000354091,0.9999999999999998,1.0
381,9606.ENSP00000226796,9606.ENSP00000478982,0.9999999999999984,1.0
382,9606.ENSP00000226796,9606.ENSP00000257829,1.0,1.0
383,9606.ENSP00000226796,9606.ENSP00000451291,1.0,1.0
384,9606.ENSP00000226796,9606.ENSP00000215829,1.0,1.0
385,9606.ENSP00000226796,9606.ENSP00000473172,1.0,1.0
386,9606.ENSP00000226796,9606.ENSP00000262715,0.9999999710775676,1.0
387,9606.ENSP00000226796,9606.ENSP00000473383,0.9999999999998664,1.0
388,9606.ENSP00000226796,9606.ENSP00000286307,0.9999999975235094,1.0
390,9606.ENSP00000226796,9606.ENSP00000304353,0.9999999941785788,1.0
391,9606.ENSP00000226796,9606.ENSP00000361076,1.0,1.0
392,9606.ENSP00000226796,9606.ENSP00000298746,0.9999999996115858,1.0
393,9606.ENSP00000286758,9606.ENSP00000326432,0.9999999999650876,1.0
394,9606.ENSP00000286758,9606.ENSP00000310405,0.9999999999826512,1.0
395,9606.ENSP00000286758,9606.ENSP00000225842,0.9999999590688136,1.0
396,9606.ENSP00000286758,9606.ENSP00000400533,0.999999999333946,1.0
397,9606.ENSP00000286758,9606.ENSP00000351671,0.9999999999998516,1.0
398,9606.ENSP00000286758,9606.ENSP00000259607,0.9999999999998928,1.0
399,9606.ENSP00000286758,9606.ENSP00000384371,0.999999999990218,1.0
400,9606.ENSP00000286758,9606.ENSP00000219235,0.9999999999992364,1.0
401,9606.ENSP00000286758,9606.ENSP00000292174,0.9999999999999998,1.0
402,9606.ENSP00000286758,9606.ENSP00000219244,0.9999999999999984,1.0
403,9606.ENSP00000286758,9606.ENSP00000386559,1.0,1.0
404,9606.ENSP00000357731,9606.ENSP00000269576,0.9665565538109412,1.0
405,9606.ENSP00000357731,9606.ENSP00000356037,0.8705276724788987,1.0
406,9606.ENSP00000357731,9606.ENSP00000369129,0.9654627089329028,1.0
407,9606.ENSP00000357731,9606.ENSP00000393417,0.8946633228909555,1.0
411,9606.ENSP00000329794,9606.ENSP00000320176,0.5197182797886264,0.0
415,9606.ENSP00000475224,9606.ENSP00000202017,0.5607810754480492,1.0
416,9606.ENSP00000475224,9606.ENSP00000261503,0.1844669316886838,0.0
469,9606.ENSP00000363322,9606.ENSP00000441543,1.0,1.0
